photo,lieu,latitude,longitude,month,year,x,y,Mean IoU,Class 1 IoU,Class 2 IoU,Mean Acc,Class 1 Acc,Class 2 Acc,LowMeanIoU,LowClass1Iou,LowClass2IoU,LowMeanAcc,LowClass1Acc,LowClass2Acc,MeanIoULight,Class1IoULight,Class2IoULight,MeanAccLight,Class1AccLight,Class2AccLight,difficulty
125_rgb.png,Monte,42.4686,9.3914,10,2012,0.985386143,0.809689167,0.115794101,0.035389026,0.196199176,0.093727614,0.008325211,0.179130017,0.682453731,0.904960366,0.459947096,0.739461683,0.987809493,0.491113873,0.798247832,0.940349392,0.656146272,0.833189297,0.996134703,0.67024389,easy
124_rgb.png,Monte,42.4686,9.3914,10,2012,0.985386143,0.809689167,-0.055082171,-0.012042656,-0.098121685,0.049593071,-0.018953949,0.118140092,0.884871144,0.986817326,0.782924962,0.906850721,0.997497092,0.81620435,0.829788973,0.974774669,0.684803276,0.956443793,0.978543143,0.934344442,easy
123_rgb.png,Monte,42.4686,9.3914,10,2012,0.985386143,0.809689167,0.29945409,0.154367071,0.444541109,0.230581582,0.055250947,0.405912216,0.593775371,0.792144134,0.395406608,0.705986883,0.923826292,0.488147474,0.893229461,0.946511205,0.839947718,0.936568465,0.979077239,0.894059691,easy
122_rgb.png,Monte,42.4686,9.3914,10,2012,0.985386143,0.809689167,0.079399678,-0.057731496,0.216530853,0.051641816,-0.184273088,0.287556719,0.32014782,0.64029564,0,0.5,1,0,0.399547498,0.582564144,0.216530853,0.551641816,0.815726912,0.287556719,easy
121_rgb.png,Monte,42.4686,9.3914,10,2012,0.985386143,0.809689167,0.191937437,0.062898913,0.320975961,0.115927989,0.038380339,0.193475639,0.7271293,0.916157111,0.538101489,0.832241858,0.954165087,0.710318629,0.919066737,0.979056024,0.85907745,0.948169847,0.992545426,0.903794268,easy
117_rgb.png,Monte,42.4686,9.3914,11,2013,0.985386143,0.809689167,0.236911596,0.124071498,0.349751695,0.1956422,-0.042802985,0.434087385,0.671114705,0.812918904,0.529310505,0.765065903,0.992409554,0.537722252,0.908026301,0.936990402,0.8790622,0.960708103,0.949606569,0.971809636,easy
034_rgb.png,Letia- Corse,42.1905264,8.8467517,4,2009,0.21262765,0.555901475,0.193836988,0.11483809,0.272835886,0.137563586,0.008151222,0.26697595,0.640722261,0.771272406,0.510172117,0.754372653,0.989239328,0.519505978,0.834559249,0.886110495,0.783008003,0.891936239,0.99739055,0.786481928,easy
142_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.446903828,0.161267825,0.732539832,0.36943471,-0.004684316,0.743553735,0.385211096,0.761908442,0.008513751,0.504256875,1,0.008513751,0.832114925,0.923176267,0.741053582,0.873691585,0.995315684,0.752067486,difficult
119_rgb.png,Letia - Corse,42.1905264,8.8467517,11,2013,0.21262765,0.555901475,0.084028343,0.038421266,0.12963542,0.051920322,0.019224662,0.084615982,0.81766016,0.919960651,0.715359668,0.888402314,0.964940871,0.811863757,0.901688502,0.958381917,0.844995088,0.940322636,0.984165533,0.896479739,easy
118_rgb.png,Letia - Corse,42.1905264,8.8467517,11,2013,0.21262765,0.555901475,0.243158223,0.061163305,0.425153141,0.217967368,-0.000641379,0.436576116,0.643937567,0.907768413,0.380106721,0.692173334,0.996907763,0.387438904,0.88709579,0.968931719,0.805259862,0.910140702,0.996266384,0.824015021,difficult
076_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.415313716,0.119474267,0.711153164,0.360750356,-0.004291673,0.725792384,0.427597737,0.825962669,0.029232806,0.514616403,1,0.029232806,0.842911453,0.945436936,0.74038597,0.875366758,0.995708327,0.75502519,difficult
054_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.024135185,0.000999191,0.047271178,0.041527652,-0.001180786,0.084236091,0.854465735,0.992262778,0.716668692,0.876197434,0.998648025,0.753746844,0.87860092,0.99326197,0.763939871,0.917725087,0.997467238,0.837982935,easy
053_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.20972376,0.004483077,0.414964444,0.21334099,0.000106896,0.426575083,0.535942349,0.990145171,0.081739526,0.542305715,0.999580638,0.085030791,0.745666109,0.994628248,0.496703971,0.755646704,0.999687534,0.511605874,easy
046_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.10695833,0.005741995,0.208174665,0.123828762,-0.001354105,0.24901163,0.763974512,0.986492866,0.541456158,0.777937068,0.999183518,0.556690618,0.870932842,0.992234861,0.749630823,0.90176583,0.997829413,0.805702248,easy
042_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.467056185,0.119702178,0.814410193,0.42111593,-0.008012467,0.850244328,0.422975667,0.845951335,0,0.5,1,0,0.890031853,0.965653512,0.814410193,0.92111593,0.991987533,0.850244328,difficult
